query,query_type
average relocation costs,numeric
what is currency in switzerland called,entity
what does the word cava means,description
what are autonomic neurons,description
how to get rid of larder beetles in house,description
what does squamous metaplasia mean,description
what is founder shares,person
how long do you get when you rent a movie on itunes,numeric
typical price for siamese cats,numeric
what is myelosuppression,description
what gases are considered greenhouse gases,entity
psa grading cost,numeric
when did the vietnam war agreement happen,numeric
different types of precious stones,description
how long does it take to cook a pork loin,numeric
lyme disease is caused by a bacterium transmitted to humans by deer ticks,entity
region that includes the island of trinidad,location
parsimony definition evolutionary psychology,description
what is the Frontal Striatal system,description
